Country,Club
Argentina,Aldosivi
Argentina,Argentinos Jrs.
Argentina,Unión de Santa Fe
Argentina,Newell's Old Boys
Argentina,Atlético Tucumán
Argentina,River Plate
Argentina,Banfield
Argentina,Club Atlético Colón
Argentina,Buenos Aires
Argentina,Gimnasia y Esgrima La Plata
Argentina,Club Atlético Huracán
Argentina,San Lorenzo de Almagro
Argentina,Club Atlético Talleres
Argentina,Club Atlético Lanús
Argentina,Club Atlético Banfield
Argentina,Club Atlético Aldosivi
Argentina,Central Córdoba
Argentina,Colón
Argentina,Defensa
Argentina,Defensa y Justicia
Argentina,Estudiantes
Argentina,Boca Juniors
Argentina,Gimnasia
Argentina,Godoy Cruz
Argentina,Huracán
Argentina,Estudiantes de La Plata
Argentina,Independiente
Argentina,Lanús
Argentina,Newell's
Argentina,Núñez
Argentina,Patronato
Argentina,Racing Club
Argentina,Rosario Central
Argentina,San Lorenzo
Argentina,Talleres
Argentina,Unión
Argentina,Vélez Sarsfield
Argentina,Argentinos Juniors
Argentina,Arsenal de Sarandí
Australia,Central Coast Mariners
Australia,Adelaide United
Australia,Brisbane Roar
Australia,Central Coast
Australia,Macarthur FC
Australia,Melb. Victory
Australia,Melbourne City
Australia,Newcastle Jets
Australia,Perth Glory
Australia,Sydney FC
Australia,Well. Phoenix
Australia,Melbourne Victory
Australia,Melbourne City FC
Australia,Western United
Australia,Western United FC
Australia,WS Wanderers
Austria,FC Admira Wacker Mödling
Austria,SV Mattersburg
Austria,Admira Wacker
Austria,FK Austria Wien
Austria,LASK
Austria,RB Salzburg
Austria,SCR Altach
Austria,SK Rapid Wien
Austria,LASK Linz
Austria,SK Sturm Graz
Austria,SKN St. Pölten
Austria,SV Ried
Austria,TSV Hartberg
Austria,Wolfsberger AC
Austria,WSG Tirol
Belgium,K Beerschot VA
Belgium,Sint-Truidense VV
Belgium,SV Zulte-Waregem
Belgium,Cercle Brugge
Belgium,Club Brugge KV
Belgium,Sporting de Charleroi
Belgium,Excel Mouscron
Belgium,KAA Gent
Belgium,KAS Eupen
Belgium,KRC Genk
Belgium,KV Kortrijk
Belgium,KV Mechelen
Belgium,KV Oostende
Belgium,OH Leuven
Belgium,Standard de Liège
Belgium,Royal Antwerp FC
Belgium,RSC Anderlecht
Belgium,Sint-Truiden
Belgium,Sp. Charleroi
Belgium,Royal Excel Mouscron
Belgium,Standard Liège
Belgium,KSV Cercle Brugge
Belgium,Waasl. Beveren
Belgium,Zulte Waregem
Brazil,Athletico-PR
Brazil,Atlético Mineiro
Brazil,Atlético-GO
Brazil,Bahia
Brazil,Botafogo
Brazil,Ceará SC
Brazil,Coritiba
Brazil,Fluminense
Brazil,Fortaleza
Brazil,Goiás
Brazil,Grêmio
Brazil,Internacional
Brazil,Oceânico FC**
Brazil,Santos
Chile,CD Everton de Viña del Mar
Chile,CD Huachipato
Chile,Universidad Católica
Chile,Colo-Colo
Chile,Unión La Calera
Chile,Curicó Unido
Chile,Universidad de Chile
Chile,Deportes Iquique
Chile,CD O'Higgins
Chile,CD Antofagasta
Korea Republic,Jeju United FC
Korea Republic,Jeonbuk Hyundai Motors
Korea Republic,Incheon United FC
Japan ,Kawasaki Frontale
Japan ,Júbilo Iwata
China PR,Shandong Luneng TaiShan FC
China PR,Shanghai SIPG FC
China PR,Guangzhou Evergrande Taobao FC
China PR,Shanghai Greenland Shenhua FC
China PR,Hebei China Fortune FC
China PR,Gyeongnam FC
China PR,Guangzhou R&F FC
China PR,Beijing Renhe FC
China PR,Jiangsu Suning FC
China PR,Beijing Sinobo Guoan FC
China PR,Tianjin TEDA FC
China PR,Chongqing SWM
China PR,Dalian Pro
China PR,Guangzhou
China PR,Guangzhou R&F
China PR,Hebei CFFC
China PR,Henan Jianye
China PR,Jiangsu Suning
China PR,Qingdao Huanghai
